name,value,change
1955,Old Growth Forest,-317.333787
1968,Old Growth Forest,-500.9096282
1976,Old Growth Forest,-91.0156698
1987,Old Growth Forest,-111.6316247
2000,Old Growth Forest,-116.1975167
2010,Old Growth Forest,-66.54479098
2022,Old Growth Forest,-81.15009592
1955,Early Successional Forest,534.6000968
1968,Early Successional Forest,578.7804085
1976,Early Successional Forest,85.14688777
1987,Early Successional Forest,539.7763791
2000,Early Successional Forest,153.9855071
2010,Early Successional Forest,-53.22131534
2022,Early Successional Forest,-109.0051719
1937,Early Successional Forest,NA
1937,Old Growth Forest,NA
